File Name,Lable,Score,Left Top X,Left Top Y,Right Bottom X,Right Bottom Y,Dice_index,Number of Pixels Affected,Time_expense
./model/artifact/3300_TB784003AH_TBAOL8C0_14_584.798_693.582__S_20170830_001254.JPG,TPPFG,0.999559,575.959,286.839,599.705,312.762,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB784896AF_TBAOL9C0_22_-296.838_-217.225__S_20170903_095404.JPG,TPPFG,0.99351,565.129,317.4,583.836,342.582,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB764212AQ_TBAOLAC0_2_-991.714_74.400__S_20170630_161409.JPG,TTFBS,0.999872,460.843,358.782,479.734,411.828,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770238AZ_TBAOL9C0_7_-1002.600_-1191.636__M_20170704_194117.JPG,TPDEB,0.531899,737.791,252.52,745.247,259.036,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770238AZ_TBAOL9C0_7_-1002.600_-1191.636__M_20170704_194117.JPG,TPPFG,0.583924,496.048,221.459,596.382,268.337,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770238AZ_TBAOL9C0_7_-1002.600_-1191.636__M_20170704_194117.JPG,TPWR0,0.549611,491.736,218.945,597.181,271.277,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770238AZ_TBAOL9C0_7_-1002.600_-1191.636__M_20170704_194117.JPG,TPWR0,0.973016,588.424,207.853,640.851,239.862,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB763902AQ_TBAOLAC0_3_-496.107_606.336__L_20170630_153837.JPG,TTFBS,0.662277,444.42,212.997,452.959,222.222,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB763902AQ_TBAOLAC0_3_-496.107_606.336__L_20170630_153837.JPG,TTFBS,0.699619,263.94,266.929,276.342,282.45,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB772039AA_TBAOL9C0_9_474.419_280.826__S_20170716_130456.JPG,TTSPS,0.999405,564.66,212.679,588.967,237.117,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB764645AA_TBAOL9C0_19_930.447_-879.506__S_20170704_014633.JPG,TCFBA,0.999342,476.922,261.136,503.523,283.55,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB772322AA_TBAOLDC0_8_592.799_-1160.819__L_20170717_191244.JPG,TPDEB,0.999217,475.169,404.712,568.846,469.233,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770349AE_TBAOL8C0_14_-565.972_-819.852__M_20170706_131213.JPG,TCFBA,0.522251,342.581,367.262,381.569,387.043,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770349AE_TBAOL8C0_14_-565.972_-819.852__M_20170706_131213.JPG,TCFBA,0.931439,759.942,557.205,766.956,565.563,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770349AE_TBAOL8C0_14_-565.972_-819.852__M_20170706_131213.JPG,TPPFG,0.626607,647.137,493.258,661.048,505.963,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770349AE_TBAOL8C0_14_-565.972_-819.852__M_20170706_131213.JPG,TPPFG,0.792226,640.266,490.291,659.803,504.059,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770349AE_TBAOL8C0_14_-565.972_-819.852__M_20170706_131213.JPG,TPWR0,0.992578,348.777,386.754,544.847,459.273,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770349AE_TBAOL8C0_14_-565.972_-819.852__M_20170706_131213.JPG,TTFBS,0.589926,616.32,499.554,627.759,518.604,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770349AE_TBAOL8C0_14_-565.972_-819.852__M_20170706_131213.JPG,TTSPS,0.769245,710.31,538.475,720.228,548.122,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770252AV_TBAOL9C0_4_-41.151_90.143__M_20170704_113745.JPG,TCFBA,0.520652,300.963,2.46843,311.794,11.1309,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770252AV_TBAOL9C0_4_-41.151_90.143__M_20170704_113745.JPG,TTFBS,0.625301,533.863,340.095,684.654,441.709,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB770252AV_TBAOL9C0_4_-41.151_90.143__M_20170704_113745.JPG,TTSPS,0.959509,169.582,232.404,180.445,243.581,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB784908AR_TBAOL6C0_2_819.819_806.696__S_20170902_094043.JPG,TPPFG,0.999904,485.647,351.274,519.066,369.776,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB764119AM_TBAOL9C0_13_-17.996_-287.63__S_20170630_024432.JPG,TCFBA,0.870803,53.8724,302.824,61.9839,310.647,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB764119AM_TBAOL9C0_13_-17.996_-287.63__S_20170630_024432.JPG,TCFBA,0.962525,52.0996,303.321,59.9385,310.081,0.9716126716324162,1,0.4329819679260254
./model/artifact/3300_TB764119AM_TBAOL9C0_13_-17.996_-287.63__S_20170630_024432.JPG,TCFBA,0.529409,546.909,323.491,635.45,379.976,0.9716126716324162,1,0.4329819679260254
